NORAD ID,Name,International Code,launch date ,Period (minutes),Status,Beacon (MHz),Category,magnitude,PRN,Longitude,SV,isFavourite
35934,UWE-2,2009-051D,,98.9,Inactive,437.385,Amateur radio,,,,,
35933,BEESAT,2009-051C,,98.9,Active,436,Amateur radio,,,,,
35932,SWISSCUBE,2009-051B,,98.9,Active,437.505,Amateur radio,,,,,
35870,SUMBANDILAÊÊCÊ,2009-049F,,92.3,Inactive,435.3,Amateur radio,,,,,
35869,UGATUSAT,2009-049E,,101.2,Inactive,,Amateur radio,,,,,
35868,TATIANA 2,2009-049D,,101.2,Reentered,,Amateur radio,,,,,
35865,METEOR-M,2009-049A,,101.3,Weather Sat,,Amateur radio,,,,,
33591,NOAA 19,2009-005A,,102,Weather Sat,,Amateur radio,,,,,
33499,KKS-1 (KISEKI),2009-002H,,97.6,Active,437.385,Amateur radio,,,,,
33498,STARS (KUKAI),2009-002G,,97.4,Active,437.305,Amateur radio,,,,,
33498,STARS (KUKAI),2009-002G,,97.4,Active,437.275,Amateur radio,,,,,
33496,SOHLA-1 (MAIDO-1),2009-002E,,97.8,Inactive,437.505,Amateur radio,,,,,
33495,KAGAYAKI,2009-002D,,97.8,Inactive,437.375,Amateur radio,,,,,
33493,PRISM (HITOMI),2009-002B,,96.2,Inactive,437.25,Amateur radio,,,,,
32953,YUBELEINY,2008-025A,,115.8,Active,,Amateur radio,,,,,
32791,SEEDS,2008-021J,,96.6,Active,437.485,Amateur radio,,,,,
32790,CANX-2,2008-021H,,96.8,Inactive,,Amateur radio,,,,,
32790,CANX-2,2008-021H,,96.8,Inactive,,Amateur radio,,,,,
32789,DELFI C3,2008-021G,,95.6,Active,145.867,Amateur radio,,,,,
32789,DELFI C3ÊÊCÊ,2008-021G,,95.6,Inactive,145.93,Amateur radio,,,,,
32788,AAUSAT CUBESAT 2,2008-021F,,96.4,Active,437.426,Amateur radio,,,,,
32787,COMPASS 1,2008-021E,,96.4,Inactive,437.275,Amateur radio,,,,,
32785,CUTE-1.7+APD II,2008-021C,,96.8,Active,437.275,Amateur radio,,,,,
32785,CUTE-1.7+APD IIÊÊCÊ,2008-021C,,96.8,Inactive,,Amateur radio,,,,,
31133,AEROCUBE 2,2007-012R,,98.7,Inactive,,Amateur radio,,,,,
31132,CP4,2007-012Q,,98.7,Inactive,437.325,Amateur radio,,,,,
31130,CAPE 1,2007-012P,,98.9,Inactive,435.248,Amateur radio,,,,,
31129,CP3,2007-012N,,98.9,Inactive,437.399,Amateur radio,,,,,
31128,LIBERTAD 1,2007-012M,,98.9,Inactive,,Amateur radio,,,,,
31126,MAST,2007-012K,,98.9,Inactive,,Amateur radio,,,,,
31122,CSTB 1,2007-012F,,98.6,Inactive,,Amateur radio,,,,,
30776,FALCONSAT 3ÊÊCÊ,2007-006E,,93.8,Active,,Amateur radio,,,,,
29712,PEHUENSAT 1,2007-001D,,95,Inactive,145.825,Amateur radio,,,,,
28898,MOZ.5/SAFIR/RUBIN 5/SL-8,2005-043G,,98.6,Unknown,,Amateur radio,,,,,
28897,SSETI-EXPRESS DEB,2005-043H,,98.4,Inactive,437.305,Amateur radio,,,,,
28895,CUBESAT XI-V,2005-043F,,98.4,Active,437.465,Amateur radio,,,,,
28894,SSETI-EXPRESS,2005-043E,,98.5,Inactive,437.25,Amateur radio,,,,,
